Airline,Source,Destination,Total_Stops,Price,day_of_Journey,month_of_Journey,year_of_Journey,Total_duration_in_minutes,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute
SpiceJet,Kolkata,Banglore,0.0,3873.0,27.0,5.0,2019.0,140.0,22.0,20.0,0.0,40.0
Multiple carriers,Delhi,Cochin,1.0,18192.0,3.0,3.0,2019.0,765.0,12.0,50.0,1.0,35.0
Jet Airways,Delhi,Cochin,1.0,12898.0,27.0,5.0,2019.0,1270.0,21.0,50.0,19.0,0.0
Multiple carriers,Delhi,Cochin,1.0,10791.0,24.0,6.0,2019.0,440.0,11.0,40.0,19.0,0.0
Vistara,Banglore,Delhi,0.0,11598.0,9.0,3.0,2019.0,165.0,9.0,50.0,12.0,35.0
Jet Airways,Delhi,Cochin,1.0,12898.0,27.0,5.0,2019.0,865.0,14.0,0.0,4.0,25.0
Jet Airways,Delhi,Cochin,2.0,10976.0,27.0,3.0,2019.0,555.0,19.0,10.0,4.0,25.0
Air Asia,Banglore,Delhi,0.0,5615.0,15.0,3.0,2019.0,170.0,5.0,50.0,8.0,40.0
Jet Airways,Kolkata,Banglore,1.0,14231.0,24.0,3.0,2019.0,590.0,18.0,55.0,4.0,45.0
Jet Airways,Delhi,Cochin,2.0,15129.0,24.0,5.0,2019.0,1430.0,19.0,10.0,19.0,0.0
Jet Airways,Kolkata,Banglore,2.0,10118.0,6.0,6.0,2019.0,860.0,6.0,30.0,20.0,50.0
Jet Airways,Delhi,Cochin,2.0,18804.0,27.0,6.0,2019.0,440.0,11.0,40.0,19.0,0.0
Jet Airways,Kolkata,Banglore,1.0,12121.0,6.0,5.0,2019.0,840.0,9.0,35.0,23.0,35.0
Vistara,Kolkata,Banglore,1.0,9397.0,24.0,5.0,2019.0,930.0,7.0,10.0,22.0,40.0
Jet Airways,Delhi,Cochin,1.0,10262.0,27.0,6.0,2019.0,1270.0,21.0,50.0,19.0,0.0
Air India,Mumbai,Hyderabad,0.0,3100.0,6.0,6.0,2019.0,80.0,21.0,5.0,22.0,25.0
Jet Airways,Kolkata,Banglore,1.0,14781.0,9.0,5.0,2019.0,425.0,16.0,30.0,23.0,35.0
Jet Airways,Delhi,Cochin,1.0,14714.0,1.0,6.0,2019.0,825.0,22.0,50.0,12.0,35.0
Multiple carriers,Delhi,Cochin,1.0,11200.0,9.0,6.0,2019.0,455.0,11.0,25.0,19.0,0.0
IndiGo,Kolkata,Banglore,1.0,5170.0,21.0,5.0,2019.0,290.0,15.0,15.0,20.0,5.0
Vistara,Banglore,Delhi,0.0,4668.0,9.0,5.0,2019.0,160.0,7.0,0.0,9.0,40.0
Air India,Delhi,Cochin,1.0,7174.0,9.0,5.0,2019.0,1010.0,6.0,10.0,23.0,0.0
Jet Airways,Delhi,Cochin,2.0,15129.0,9.0,5.0,2019.0,535.0,19.0,30.0,4.0,25.0
Jet Airways,Kolkata,Banglore,1.0,14151.0,15.0,5.0,2019.0,1295.0,20.0,25.0,18.0,0.0
Air India,Banglore,Delhi,1.0,15434.0,6.0,3.0,2019.0,725.0,11.0,50.0,23.0,55.0
Air India,Banglore,Delhi,1.0,10246.0,1.0,3.0,2019.0,1155.0,17.0,0.0,12.0,15.0
Jet Airways,Kolkata,Banglore,1.0,10844.0,9.0,6.0,2019.0,475.0,8.0,25.0,16.0,20.0
Jet Airways,Delhi,Cochin,2.0,12410.0,24.0,6.0,2019.0,505.0,20.0,0.0,4.0,25.0
SpiceJet,Kolkata,Banglore,1.0,6643.0,24.0,5.0,2019.0,520.0,8.0,35.0,17.0,15.0
Jet Airways,Delhi,Cochin,1.0,10262.0,12.0,6.0,2019.0,600.0,9.0,0.0,19.0,0.0
SpiceJet,Kolkata,Banglore,0.0,3873.0,18.0,5.0,2019.0,140.0,22.0,20.0,0.0,40.0
SpiceJet,Mumbai,Hyderabad,0.0,2753.0,12.0,6.0,2019.0,90.0,5.0,45.0,7.0,15.0
Air India,Delhi,Cochin,2.0,10441.0,15.0,6.0,2019.0,1275.0,22.0,0.0,19.0,15.0
IndiGo,Mumbai,Hyderabad,0.0,4575.0,15.0,5.0,2019.0,90.0,9.0,10.0,10.0,40.0
Jet Airways,Delhi,Cochin,1.0,14714.0,3.0,6.0,2019.0,450.0,20.0,55.0,4.0,25.0
IndiGo,Delhi,Cochin,1.0,6069.0,9.0,6.0,2019.0,300.0,16.0,0.0,21.0,0.0
Jet Airways,Banglore,Delhi,0.0,7229.0,1.0,6.0,2019.0,175.0,11.0,10.0,14.0,5.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,15.0,5.0,2019.0,425.0,16.0,30.0,23.0,35.0
Jet Airways,Kolkata,Banglore,1.0,9899.0,12.0,6.0,2019.0,705.0,6.0,30.0,18.0,15.0
Air Asia,Kolkata,Banglore,1.0,5192.0,21.0,5.0,2019.0,955.0,7.0,35.0,23.0,30.0
Multiple carriers,Delhi,Cochin,1.0,11200.0,1.0,6.0,2019.0,505.0,10.0,35.0,19.0,0.0
Vistara,Delhi,Cochin,0.0,5586.0,21.0,3.0,2019.0,175.0,14.0,55.0,17.0,50.0
Multiple carriers,Delhi,Cochin,2.0,8938.0,3.0,3.0,2019.0,850.0,7.0,10.0,21.0,20.0
Multiple carriers,Delhi,Cochin,1.0,13797.0,12.0,6.0,2019.0,780.0,8.0,0.0,21.0,0.0
GoAir,Delhi,Cochin,1.0,5842.0,1.0,5.0,2019.0,370.0,7.0,25.0,13.0,35.0
IndiGo,Banglore,Delhi,1.0,10509.0,15.0,3.0,2019.0,300.0,19.0,35.0,0.0,35.0
IndiGo,Banglore,Delhi,0.0,3943.0,21.0,6.0,2019.0,170.0,4.0,0.0,6.0,50.0
Air Asia,Delhi,Cochin,1.0,6451.0,27.0,6.0,2019.0,865.0,16.0,45.0,7.0,10.0
Jet Airways,Delhi,Cochin,1.0,10262.0,12.0,6.0,2019.0,300.0,14.0,0.0,19.0,0.0
Multiple carriers,Delhi,Cochin,1.0,13587.0,1.0,6.0,2019.0,720.0,9.0,0.0,21.0,0.0
SpiceJet,Kolkata,Banglore,0.0,3841.0,27.0,4.0,2019.0,150.0,14.0,55.0,17.0,25.0
Multiple carriers,Delhi,Cochin,1.0,10791.0,27.0,6.0,2019.0,395.0,6.0,0.0,12.0,35.0
IndiGo,Kolkata,Banglore,0.0,4804.0,27.0,6.0,2019.0,155.0,9.0,35.0,12.0,10.0
Jet Airways,Delhi,Cochin,2.0,13029.0,27.0,5.0,2019.0,810.0,5.0,30.0,19.0,0.0
SpiceJet,Kolkata,Banglore,1.0,6643.0,6.0,6.0,2019.0,520.0,8.0,35.0,17.0,15.0
Jet Airways,Delhi,Cochin,1.0,12242.0,27.0,3.0,2019.0,440.0,11.0,30.0,18.0,50.0
IndiGo,Delhi,Cochin,1.0,7318.0,21.0,5.0,2019.0,975.0,9.0,15.0,1.0,30.0
SpiceJet,Kolkata,Banglore,0.0,3841.0,6.0,6.0,2019.0,145.0,9.0,0.0,11.0,25.0
Multiple carriers,Delhi,Cochin,1.0,9526.0,15.0,6.0,2019.0,630.0,8.0,45.0,19.0,15.0
IndiGo,Delhi,Cochin,1.0,6442.0,27.0,6.0,2019.0,515.0,7.0,35.0,16.0,10.0
Jet Airways,Delhi,Cochin,2.0,15129.0,27.0,5.0,2019.0,1430.0,19.0,10.0,19.0,0.0
Air India,Delhi,Cochin,2.0,12646.0,15.0,6.0,2019.0,800.0,5.0,55.0,19.0,15.0
Jet Airways,Delhi,Cochin,1.0,14714.0,3.0,6.0,2019.0,1485.0,18.0,15.0,19.0,0.0
IndiGo,Mumbai,Hyderabad,0.0,4049.0,24.0,6.0,2019.0,90.0,9.0,10.0,10.0,40.0
Jet Airways,Delhi,Cochin,1.0,10262.0,3.0,6.0,2019.0,450.0,20.0,55.0,4.0,25.0
Vistara,Kolkata,Banglore,1.0,8977.0,1.0,4.0,2019.0,355.0,17.0,0.0,22.0,55.0
Jet Airways,Kolkata,Banglore,1.0,14231.0,24.0,3.0,2019.0,980.0,16.0,55.0,9.0,15.0
Air India,Delhi,Cochin,1.0,9404.0,24.0,6.0,2019.0,615.0,9.0,0.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,12121.0,9.0,5.0,2019.0,840.0,9.0,35.0,23.0,35.0
Jet Airways,Kolkata,Banglore,1.0,13759.0,24.0,3.0,2019.0,1660.0,19.0,45.0,23.0,25.0
Air India,Kolkata,Banglore,0.0,4145.0,15.0,4.0,2019.0,155.0,20.0,45.0,23.0,20.0
Multiple carriers,Delhi,Cochin,1.0,8266.0,9.0,5.0,2019.0,455.0,11.0,40.0,19.0,15.0
Air Asia,Banglore,Delhi,0.0,4282.0,15.0,5.0,2019.0,170.0,4.0,55.0,7.0,45.0
Multiple carriers,Delhi,Cochin,1.0,8475.0,3.0,6.0,2019.0,900.0,6.0,0.0,21.0,0.0
Jet Airways,Banglore,Delhi,1.0,12284.0,18.0,3.0,2019.0,1200.0,11.0,40.0,7.0,40.0
IndiGo,Kolkata,Banglore,1.0,5386.0,9.0,5.0,2019.0,280.0,17.0,35.0,22.0,15.0
Jet Airways,Mumbai,Hyderabad,0.0,5678.0,24.0,3.0,2019.0,85.0,7.0,10.0,8.0,35.0
Jet Airways,Delhi,Cochin,2.0,10368.0,15.0,6.0,2019.0,1375.0,5.0,30.0,4.0,25.0
Jet Airways,Kolkata,Banglore,1.0,8586.0,12.0,5.0,2019.0,775.0,21.0,10.0,10.0,5.0
SpiceJet,Kolkata,Banglore,0.0,3873.0,15.0,6.0,2019.0,140.0,22.0,20.0,0.0,40.0
Multiple carriers,Delhi,Cochin,1.0,13017.0,9.0,4.0,2019.0,480.0,17.0,30.0,1.0,30.0
Jet Airways,Banglore,Delhi,0.0,7229.0,21.0,5.0,2019.0,175.0,11.0,10.0,14.0,5.0
IndiGo,Banglore,Delhi,0.0,5694.0,24.0,3.0,2019.0,170.0,4.0,0.0,6.0,50.0
Jet Airways,Kolkata,Banglore,1.0,7064.0,1.0,4.0,2019.0,1545.0,16.0,30.0,18.0,15.0
IndiGo,Banglore,Delhi,0.0,6860.0,3.0,3.0,2019.0,165.0,1.0,30.0,4.0,15.0
Jet Airways,Delhi,Cochin,2.0,15318.0,9.0,5.0,2019.0,505.0,20.0,0.0,4.0,25.0
Air India,Delhi,Cochin,2.0,11911.0,21.0,5.0,2019.0,1545.0,5.0,55.0,7.0,40.0
Jet Airways,Delhi,Cochin,2.0,16263.0,21.0,5.0,2019.0,505.0,20.0,0.0,4.0,25.0
Jet Airways,Delhi,Cochin,1.0,15554.0,18.0,5.0,2019.0,450.0,11.0,30.0,19.0,0.0
IndiGo,Banglore,Delhi,1.0,8064.0,1.0,3.0,2019.0,285.0,5.0,15.0,10.0,0.0
IndiGo,Kolkata,Banglore,0.0,4804.0,3.0,6.0,2019.0,155.0,17.0,15.0,19.0,50.0
SpiceJet,Banglore,Delhi,0.0,3257.0,24.0,5.0,2019.0,160.0,5.0,55.0,8.0,35.0
Jet Airways,Delhi,Cochin,1.0,10262.0,9.0,6.0,2019.0,450.0,11.0,30.0,19.0,0.0
IndiGo,Kolkata,Banglore,0.0,4174.0,18.0,4.0,2019.0,155.0,20.0,20.0,22.0,55.0
Multiple carriers,Delhi,Cochin,3.0,15629.0,12.0,6.0,2019.0,565.0,11.0,35.0,21.0,0.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,1.0,5.0,2019.0,1655.0,8.0,25.0,12.0,0.0
IndiGo,Delhi,Cochin,1.0,5684.0,24.0,6.0,2019.0,500.0,17.0,10.0,1.0,30.0
IndiGo,Banglore,Delhi,0.0,4077.0,1.0,5.0,2019.0,165.0,1.0,30.0,4.0,15.0
Multiple carriers,Delhi,Cochin,1.0,9646.0,12.0,6.0,2019.0,765.0,9.0,45.0,22.0,30.0
Jet Airways,Banglore,Delhi,1.0,6136.0,15.0,3.0,2019.0,280.0,9.0,45.0,14.0,25.0
Multiple carriers,Delhi,Cochin,1.0,15058.0,24.0,6.0,2019.0,730.0,7.0,5.0,19.0,15.0
Air India,Kolkata,Banglore,1.0,8366.0,24.0,5.0,2019.0,1350.0,9.0,25.0,7.0,55.0
Vistara,Banglore,Delhi,0.0,4668.0,3.0,6.0,2019.0,160.0,7.0,0.0,9.0,40.0
Air India,Delhi,Cochin,2.0,12488.0,3.0,6.0,2019.0,1855.0,12.0,20.0,19.0,15.0
Multiple carriers,Delhi,Cochin,1.0,13082.0,9.0,3.0,2019.0,755.0,6.0,40.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,14676.0,9.0,6.0,2019.0,750.0,9.0,35.0,22.0,5.0
IndiGo,Banglore,Delhi,0.0,4823.0,21.0,5.0,2019.0,175.0,7.0,10.0,10.0,5.0
Multiple carriers,Delhi,Cochin,1.0,12402.0,21.0,3.0,2019.0,710.0,7.0,0.0,18.0,50.0
Jet Airways,Delhi,Cochin,2.0,12341.0,21.0,3.0,2019.0,2240.0,5.0,30.0,18.0,50.0
Vistara,Kolkata,Banglore,1.0,9345.0,12.0,5.0,2019.0,975.0,7.0,10.0,23.0,25.0
IndiGo,Chennai,Kolkata,0.0,4332.0,15.0,5.0,2019.0,145.0,11.0,35.0,14.0,0.0
IndiGo,Delhi,Cochin,1.0,6818.0,6.0,6.0,2019.0,425.0,5.0,5.0,12.0,10.0
Jet Airways,Banglore,Delhi,1.0,13817.0,12.0,3.0,2019.0,960.0,7.0,0.0,23.0,0.0
Multiple carriers,Delhi,Cochin,1.0,6148.0,27.0,3.0,2019.0,510.0,7.0,0.0,15.0,30.0
IndiGo,Banglore,Delhi,1.0,7280.0,9.0,3.0,2019.0,310.0,19.0,30.0,0.0,40.0
GoAir,Delhi,Cochin,1.0,8422.0,9.0,3.0,2019.0,440.0,6.0,0.0,13.0,20.0
Air India,Kolkata,Banglore,0.0,5510.0,18.0,4.0,2019.0,150.0,14.0,15.0,16.0,45.0
IndiGo,Delhi,Cochin,1.0,9264.0,21.0,3.0,2019.0,420.0,18.0,35.0,1.0,35.0
Jet Airways,Delhi,Cochin,1.0,10262.0,6.0,6.0,2019.0,620.0,2.0,15.0,12.0,35.0
Jet Airways,Delhi,Cochin,2.0,8938.0,21.0,3.0,2019.0,1415.0,19.0,15.0,18.0,50.0
Air India,Banglore,Delhi,1.0,11077.0,9.0,3.0,2019.0,1330.0,11.0,5.0,9.0,15.0
Jet Airways,Delhi,Cochin,2.0,13376.0,9.0,6.0,2019.0,830.0,14.0,35.0,4.0,25.0
Jet Airways,Banglore,Delhi,1.0,16736.0,6.0,3.0,2019.0,1235.0,11.0,40.0,8.0,15.0
Air India,Chennai,Kolkata,0.0,4667.0,6.0,5.0,2019.0,135.0,11.0,40.0,13.0,55.0
IndiGo,Chennai,Kolkata,0.0,3597.0,1.0,6.0,2019.0,140.0,13.0,15.0,15.0,35.0
Multiple carriers,Delhi,Cochin,1.0,15603.0,6.0,3.0,2019.0,510.0,7.0,0.0,15.0,30.0
IndiGo,Banglore,Delhi,0.0,4077.0,9.0,5.0,2019.0,165.0,6.0,5.0,8.0,50.0
Jet Airways,Delhi,Cochin,2.0,15339.0,27.0,6.0,2019.0,1775.0,13.0,25.0,19.0,0.0
IndiGo,Kolkata,Banglore,0.0,5224.0,18.0,4.0,2019.0,155.0,11.0,30.0,14.0,5.0
Jet Airways,Banglore,Delhi,0.0,7229.0,15.0,6.0,2019.0,175.0,11.0,10.0,14.0,5.0
Jet Airways,Kolkata,Banglore,1.0,8586.0,21.0,5.0,2019.0,1655.0,6.0,30.0,10.0,5.0
Jet Airways,Delhi,Cochin,1.0,10262.0,27.0,6.0,2019.0,1295.0,15.0,0.0,12.0,35.0
Air India,Delhi,Cochin,2.0,13486.0,18.0,5.0,2019.0,500.0,10.0,55.0,19.0,15.0
IndiGo,Kolkata,Banglore,0.0,8872.0,24.0,3.0,2019.0,160.0,20.0,25.0,23.0,5.0
IndiGo,Delhi,Cochin,1.0,6442.0,27.0,4.0,2019.0,455.0,8.0,35.0,16.0,10.0
Jet Airways,Delhi,Cochin,1.0,15554.0,9.0,5.0,2019.0,360.0,13.0,0.0,19.0,0.0
SpiceJet,Chennai,Kolkata,0.0,3597.0,24.0,6.0,2019.0,140.0,17.0,45.0,20.0,5.0
IndiGo,Delhi,Cochin,2.0,6494.0,27.0,3.0,2019.0,565.0,11.0,55.0,21.0,20.0
IndiGo,Mumbai,Hyderabad,0.0,4784.0,6.0,3.0,2019.0,90.0,16.0,55.0,18.0,25.0
Air India,Mumbai,Hyderabad,0.0,2050.0,27.0,3.0,2019.0,90.0,13.0,55.0,15.0,25.0
SpiceJet,Mumbai,Hyderabad,0.0,11005.0,1.0,3.0,2019.0,85.0,22.0,45.0,0.0,10.0
Multiple carriers,Delhi,Cochin,1.0,9001.0,15.0,5.0,2019.0,455.0,11.0,40.0,19.0,15.0
Air India,Chennai,Kolkata,0.0,4667.0,21.0,6.0,2019.0,135.0,11.0,40.0,13.0,55.0
Multiple carriers,Delhi,Cochin,1.0,11622.0,12.0,6.0,2019.0,585.0,9.0,15.0,19.0,0.0
IndiGo,Kolkata,Banglore,0.0,4804.0,27.0,5.0,2019.0,155.0,22.0,15.0,0.0,50.0
IndiGo,Delhi,Cochin,1.0,5636.0,21.0,5.0,2019.0,315.0,7.0,15.0,12.0,30.0
Air India,Kolkata,Banglore,0.0,5510.0,21.0,5.0,2019.0,150.0,14.0,15.0,16.0,45.0
Jet Airways,Delhi,Cochin,2.0,14300.0,27.0,6.0,2019.0,1845.0,12.0,15.0,19.0,0.0
Air India,Delhi,Cochin,1.0,8372.0,9.0,6.0,2019.0,640.0,21.0,0.0,7.0,40.0
SpiceJet,Kolkata,Banglore,1.0,10156.0,6.0,6.0,2019.0,435.0,11.0,15.0,18.0,30.0
SpiceJet,Banglore,Delhi,0.0,4423.0,15.0,6.0,2019.0,160.0,5.0,55.0,8.0,35.0
SpiceJet,Mumbai,Hyderabad,0.0,1965.0,21.0,6.0,2019.0,90.0,13.0,15.0,14.0,45.0
Jet Airways,Kolkata,Banglore,1.0,7064.0,1.0,4.0,2019.0,1660.0,18.0,55.0,22.0,35.0
Multiple carriers,Delhi,Cochin,1.0,10261.0,1.0,6.0,2019.0,630.0,8.0,45.0,19.0,15.0
Air India,Kolkata,Banglore,2.0,13899.0,21.0,5.0,2019.0,1165.0,10.0,0.0,5.0,25.0
Multiple carriers,Delhi,Cochin,1.0,15288.0,3.0,3.0,2019.0,395.0,19.0,0.0,1.0,35.0
Jet Airways,Banglore,Delhi,1.0,13712.0,6.0,3.0,2019.0,1445.0,8.0,55.0,9.0,0.0
Air India,Delhi,Cochin,2.0,8603.0,6.0,6.0,2019.0,435.0,12.0,0.0,19.0,15.0
Multiple carriers,Delhi,Cochin,1.0,13377.0,27.0,6.0,2019.0,750.0,13.0,0.0,1.0,30.0
IndiGo,Delhi,Cochin,0.0,7673.0,3.0,3.0,2019.0,195.0,5.0,35.0,8.0,50.0
Multiple carriers,Delhi,Cochin,1.0,13587.0,15.0,6.0,2019.0,720.0,9.0,0.0,21.0,0.0
Jet Airways,Delhi,Cochin,2.0,19644.0,18.0,5.0,2019.0,440.0,11.0,40.0,19.0,0.0
IndiGo,Kolkata,Banglore,0.0,4174.0,6.0,4.0,2019.0,150.0,15.0,15.0,17.0,45.0
Multiple carriers,Delhi,Cochin,1.0,7198.0,24.0,6.0,2019.0,390.0,19.0,0.0,1.0,30.0
Jet Airways,Kolkata,Banglore,1.0,12692.0,6.0,6.0,2019.0,505.0,9.0,35.0,18.0,0.0
Jet Airways Business,Delhi,Cochin,2.0,46490.0,3.0,3.0,2019.0,500.0,20.0,5.0,4.0,25.0
Air India,Banglore,Delhi,0.0,4441.0,18.0,3.0,2019.0,170.0,21.0,5.0,23.0,55.0
Jet Airways,Kolkata,Banglore,1.0,14781.0,21.0,5.0,2019.0,510.0,14.0,5.0,22.0,35.0
Jet Airways,Kolkata,Banglore,1.0,12692.0,12.0,6.0,2019.0,1450.0,9.0,35.0,9.0,45.0
Jet Airways,Delhi,Cochin,2.0,10368.0,15.0,6.0,2019.0,1025.0,19.0,30.0,12.0,35.0
Jet Airways,Kolkata,Banglore,1.0,14571.0,24.0,5.0,2019.0,345.0,14.0,5.0,19.0,50.0
Air India,Delhi,Cochin,0.0,7931.0,6.0,3.0,2019.0,180.0,14.0,10.0,17.0,10.0
IndiGo,Banglore,Delhi,0.0,3943.0,12.0,5.0,2019.0,170.0,10.0,10.0,13.0,0.0
SpiceJet,Banglore,Delhi,0.0,3573.0,27.0,6.0,2019.0,160.0,5.0,55.0,8.0,35.0
Jet Airways,Kolkata,Banglore,1.0,10539.0,12.0,6.0,2019.0,750.0,9.0,35.0,22.0,5.0
Multiple carriers,Delhi,Cochin,1.0,9779.0,1.0,6.0,2019.0,600.0,9.0,15.0,19.0,15.0
Air India,Mumbai,Hyderabad,1.0,8065.0,12.0,3.0,2019.0,1440.0,9.0,15.0,9.0,15.0
Jet Airways,Banglore,Delhi,1.0,17261.0,6.0,3.0,2019.0,775.0,20.0,35.0,9.0,30.0
Air India,Kolkata,Banglore,2.0,10151.0,9.0,6.0,2019.0,1830.0,12.0,0.0,18.0,30.0
Multiple carriers,Delhi,Cochin,1.0,12327.0,27.0,3.0,2019.0,630.0,15.0,5.0,1.0,35.0
Air India,Banglore,Delhi,0.0,6961.0,18.0,6.0,2019.0,170.0,17.0,0.0,19.0,50.0
Air India,Delhi,Cochin,1.0,14042.0,3.0,3.0,2019.0,1640.0,6.0,5.0,9.0,25.0
IndiGo,Banglore,Delhi,0.0,3943.0,18.0,6.0,2019.0,170.0,23.0,30.0,2.0,20.0
SpiceJet,Banglore,Delhi,0.0,4319.0,9.0,5.0,2019.0,175.0,21.0,10.0,0.0,5.0
Multiple carriers,Delhi,Cochin,1.0,8266.0,27.0,6.0,2019.0,705.0,7.0,30.0,19.0,15.0
Jet Airways,Delhi,Cochin,1.0,14714.0,6.0,6.0,2019.0,745.0,16.0,0.0,4.0,25.0
Vistara,Chennai,Kolkata,0.0,3739.0,27.0,3.0,2019.0,135.0,7.0,5.0,9.0,20.0
Multiple carriers,Delhi,Cochin,1.0,9424.0,1.0,5.0,2019.0,390.0,19.0,0.0,1.0,30.0
Vistara,Banglore,Delhi,0.0,4878.0,12.0,6.0,2019.0,155.0,17.0,0.0,19.0,35.0
Multiple carriers,Delhi,Cochin,1.0,13377.0,24.0,6.0,2019.0,930.0,10.0,0.0,1.0,30.0
Jet Airways,Delhi,Cochin,2.0,13029.0,9.0,5.0,2019.0,1125.0,9.0,40.0,4.0,25.0
IndiGo,Chennai,Kolkata,0.0,3850.0,24.0,6.0,2019.0,140.0,7.0,55.0,10.0,15.0
Air India,Kolkata,Banglore,3.0,14960.0,21.0,5.0,2019.0,805.0,9.0,50.0,23.0,15.0
Jet Airways,Kolkata,Banglore,1.0,14676.0,9.0,6.0,2019.0,395.0,17.0,0.0,23.0,35.0
Multiple carriers,Delhi,Cochin,1.0,10678.0,27.0,6.0,2019.0,460.0,4.0,55.0,12.0,35.0
Jet Airways,Delhi,Cochin,2.0,13376.0,6.0,6.0,2019.0,1300.0,6.0,45.0,4.0,25.0
SpiceJet,Kolkata,Banglore,0.0,3873.0,12.0,4.0,2019.0,145.0,9.0,0.0,11.0,25.0
Jet Airways,Banglore,Delhi,0.0,7229.0,27.0,5.0,2019.0,185.0,18.0,55.0,22.0,0.0
Multiple carriers,Delhi,Cochin,1.0,8266.0,6.0,6.0,2019.0,535.0,10.0,20.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,18.0,5.0,2019.0,1590.0,5.0,45.0,8.0,15.0
Air India,Banglore,Delhi,0.0,4966.0,9.0,3.0,2019.0,165.0,21.0,10.0,23.0,55.0
SpiceJet,Chennai,Kolkata,0.0,3543.0,24.0,6.0,2019.0,135.0,8.0,20.0,10.0,35.0
IndiGo,Delhi,Cochin,1.0,8784.0,21.0,3.0,2019.0,860.0,6.0,40.0,21.0,0.0
Jet Airways,Delhi,Cochin,1.0,14714.0,6.0,6.0,2019.0,805.0,15.0,0.0,4.0,25.0
SpiceJet,Kolkata,Banglore,0.0,3841.0,9.0,6.0,2019.0,150.0,17.0,10.0,19.0,40.0
IndiGo,Delhi,Cochin,1.0,6069.0,6.0,6.0,2019.0,300.0,16.0,0.0,21.0,0.0
SpiceJet,Banglore,Delhi,0.0,3971.0,3.0,4.0,2019.0,160.0,5.0,55.0,8.0,35.0
Multiple carriers,Delhi,Cochin,1.0,13587.0,1.0,6.0,2019.0,570.0,11.0,30.0,21.0,0.0
Jet Airways,Banglore,Delhi,1.0,13502.0,6.0,3.0,2019.0,900.0,14.0,5.0,5.0,5.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,18.0,5.0,2019.0,450.0,21.0,10.0,4.0,40.0
Jet Airways,Banglore,Delhi,0.0,8016.0,12.0,6.0,2019.0,180.0,17.0,45.0,20.0,45.0
IndiGo,Kolkata,Banglore,1.0,7228.0,15.0,5.0,2019.0,315.0,21.0,0.0,2.0,15.0
Jet Airways,Kolkata,Banglore,1.0,10844.0,18.0,5.0,2019.0,1720.0,18.0,55.0,23.0,35.0
Jet Airways,Delhi,Cochin,2.0,12273.0,27.0,3.0,2019.0,1325.0,6.0,20.0,4.0,25.0
Jet Airways,Delhi,Cochin,1.0,10262.0,9.0,6.0,2019.0,825.0,22.0,50.0,12.0,35.0
IndiGo,Delhi,Cochin,1.0,6628.0,27.0,5.0,2019.0,415.0,18.0,35.0,1.0,30.0
Multiple carriers,Delhi,Cochin,1.0,6007.0,24.0,6.0,2019.0,640.0,10.0,20.0,21.0,0.0
Jet Airways,Kolkata,Banglore,1.0,14781.0,6.0,5.0,2019.0,705.0,6.0,30.0,18.0,15.0
SpiceJet,Banglore,Delhi,0.0,5469.0,24.0,3.0,2019.0,170.0,20.0,30.0,23.0,20.0
SpiceJet,Kolkata,Banglore,0.0,3873.0,15.0,6.0,2019.0,155.0,6.0,55.0,9.0,30.0
Jet Airways,Kolkata,Banglore,1.0,8586.0,24.0,5.0,2019.0,1330.0,6.0,30.0,4.0,40.0
IndiGo,Kolkata,Banglore,1.0,5069.0,24.0,5.0,2019.0,290.0,8.0,10.0,13.0,0.0
IndiGo,Chennai,Kolkata,0.0,6297.0,9.0,3.0,2019.0,140.0,19.0,35.0,21.0,55.0
Vistara,Banglore,Delhi,0.0,4878.0,27.0,6.0,2019.0,170.0,21.0,0.0,23.0,50.0
Jet Airways,Banglore,Delhi,0.0,4030.0,21.0,5.0,2019.0,175.0,11.0,10.0,14.0,5.0
Jet Airways,Kolkata,Banglore,1.0,7064.0,1.0,4.0,2019.0,1595.0,20.0,0.0,22.0,35.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,9.0,5.0,2019.0,730.0,21.0,10.0,9.0,20.0
Jet Airways,Kolkata,Banglore,1.0,12681.0,1.0,4.0,2019.0,1335.0,20.0,0.0,18.0,15.0
Jet Airways,Kolkata,Banglore,1.0,8529.0,12.0,6.0,2019.0,910.0,18.0,55.0,10.0,5.0
Vistara,Banglore,Delhi,0.0,5403.0,12.0,4.0,2019.0,170.0,9.0,45.0,12.0,35.0
Air India,Delhi,Cochin,2.0,20416.0,6.0,3.0,2019.0,1490.0,6.0,50.0,7.0,40.0
IndiGo,Mumbai,Hyderabad,0.0,2754.0,3.0,6.0,2019.0,90.0,19.0,5.0,20.0,35.0
Jet Airways,Delhi,Cochin,2.0,10368.0,1.0,6.0,2019.0,1375.0,5.0,30.0,4.0,25.0
Jet Airways,Kolkata,Banglore,1.0,14388.0,9.0,5.0,2019.0,330.0,6.0,30.0,12.0,0.0
Air India,Kolkata,Banglore,2.0,10991.0,1.0,5.0,2019.0,1625.0,5.0,50.0,8.0,55.0
